## Muestra el numero de rayos que golpean cada bin
## Nx =40, Ny=40
## x[m], y[m], z[W/m2]
-0.319699, -0.724959, 1.28448
-0.319699, -0.676387, 2.36067
-0.319699, -0.627816, 5.32887
-0.319699, -0.579245, 9.14761
-0.319699, -0.530674, 14.0425
-0.319699, -0.482103, 19.9616
-0.319699, -0.433532, 26.1757
-0.319699, -0.384961, 33.7264
-0.319699, -0.33639, 38.3089
-0.319699, -0.287818, 45.686
-0.319699, -0.239247, 51.5008
-0.319699, -0.190676, 57.8538
-0.319699, -0.142105, 57.0901
-0.319699, -0.0935339, 61.3948
-0.319699, -0.0449627, 64.6061
-0.319699, 0.00360839, 66.4633
-0.319699, 0.0521795, 66.1683
-0.319699, 0.100751, 66.4807
-0.319699, 0.149322, 65.0921
-0.319699, 0.197893, 61.5163
-0.319699, 0.246464, 59.0342
-0.319699, 0.295035, 52.4555
-0.319699, 0.343606, 45.8942
-0.319699, 0.392177, 37.1285
-0.319699, 0.440749, 27.9983
-0.319699, 0.48932, 21.8189
-0.319699, 0.537891, 13.9037
-0.319699, 0.586462, 9.51212
-0.319699, 0.635033, 5.38094
-0.319699, 0.683604, 3.21121
-0.319699, 0.732175, 1.49278
-0.319699, 0.780747, 0.6596
-0.319699, 0.829318, 0.24301
-0.319699, 0.877889, 0.138863
-0.319699, 0.92646, 0.0347158
-0.319699, 0.975031, 0.0347158
-0.27002, -0.919243, 0.0173579
-0.27002, -0.870672, 0.121505
-0.27002, -0.822101, 0.312442
-0.27002, -0.77353, 0.711673
-0.27002, -0.724959, 2.27388
-0.27002, -0.676387, 4.42626
-0.27002, -0.627816, 8.99138
-0.27002, -0.579245, 13.7127
-0.27002, -0.530674, 22.3743
-0.27002, -0.482103, 30.8102
-0.27002, -0.433532, 39.6454
-0.27002, -0.384961, 48.7757
-0.27002, -0.33639, 55.9965
-0.27002, -0.287818, 62.7661
-0.27002, -0.239247, 67.7478
-0.27002, -0.190676, 70.4036
-0.27002, -0.142105, 74.0314
-0.27002, -0.0935339, 77.0343
-0.27002, -0.0449627, 78.8916
-0.27002, 0.00360839, 80.4885
-0.27002, 0.0521795, 80.3323
-0.27002, 0.100751, 79.3603
-0.27002, 0.149322, 77.8328
-0.27002, 0.197893, 71.9137
-0.27002, 0.246464, 66.2377
-0.27002, 0.295035, 60.1971
-0.27002, 0.343606, 51.0148
-0.27002, 0.392177, 44.3668
-0.27002, 0.440749, 34.386
-0.27002, 0.48932, 25.8459
-0.27002, 0.537891, 16.7504
-0.27002, 0.586462, 11.057
-0.27002, 0.635033, 7.06466
-0.27002, 0.683604, 3.48894
-0.27002, 0.732175, 2.08295
-0.27002, 0.780747, 0.781105
-0.27002, 0.829318, 0.433947
-0.27002, 0.877889, 0.156221
-0.27002, 0.92646, 0.104147
-0.27002, 0.975031, 0.0173579
-0.220342, -0.919243, 0.0173579
-0.220342, -0.870672, 0.0694315
-0.220342, -0.822101, 0.642242
-0.220342, -0.77353, 1.42335
-0.220342, -0.724959, 2.95084
-0.220342, -0.676387, 6.40506
-0.220342, -0.627816, 12.5671
-0.220342, -0.579245, 20.6906
-0.220342, -0.530674, 30.7061
-0.220342, -0.482103, 43.5857
-0.220342, -0.433532, 52.7333
-0.220342, -0.384961, 62.1759
-0.220342, -0.33639, 69.9349
-0.220342, -0.287818, 77.503
-0.220342, -0.239247, 85.1925
-0.220342, -0.190676, 87.7962
-0.220342, -0.142105, 87.9698
-0.220342, -0.0935339, 92.639
-0.220342, -0.0449627, 94.1145
-0.220342, 0.00360839, 94.4443
-0.220342, 0.0521795, 92.2919
-0.220342, 0.100751, 88.2301
-0.220342, 0.149322, 88.2301
-0.220342, 0.197893, 82.4152
-0.220342, 0.246464, 77.2773
-0.220342, 0.295035, 68.8761
-0.220342, 0.343606, 58.5134
-0.220342, 0.392177, 48.4979
-0.220342, 0.440749, 41.2076
